id,name,galaxy,type,period,ra,dec,magU,magB,magV,magR,magI,magJ,magH,magK,magu,magg,magr,magi,magz,magG,magW1,magW2,magW3,magW4
21921,OGLE-LMC-CEP-0523,LMC,DCEP,1.5205416,4 58 26.67,-70 49 50.00,,,16.442,,15.856,,,,,,,,,,,,,
21920,OGLE-LMC-CEP-0522,LMC,DCEP,3.1440555,4 58 26.55,-67 55 45.60,,,16.074,,15.333,,,,,,,,,,,,,
21919,OGLE-LMC-CEP-0521,LMC,DCEP,1.3973221,4 58 23.69,-67 53 57.40,,,17.136,,16.481,,,,,,,,,,,,,
21918,OGLE-LMC-CEP-0520,LMC,DCEP,8.3736251,4 58 22.85,-71 2 32.90,,,14.781,,14.032,,,,,,,,,,,,,
21917,OGLE-LMC-CEP-0519,LMC,DCEP,1.6798503,4 58 18.82,-69 7 1.50,,,17.226,,16.463,,,,,,,,,,,,,
21979,OGLE-LMC-CEP-0581,LMC,DCEP,1.9475488,4 59 30.00,-68 58 54.00,,,16.027,,15.403,,,,,,,,,,,,,
21980,OGLE-LMC-CEP-0582,LMC,DCEP,3.4508357,4 59 30.78,-68 8 55.50,,,16.158,,15.352,,,,,,,,,,,,,
21981,OGLE-LMC-CEP-0583,LMC,DCEP,2.1472942,4 59 31.01,-69 19 42.20,,,16.104,,15.375,,,,,,,,,,,,,
22035,OGLE-LMC-CEP-0656,LMC,DCEP,2.2936631,5 0 56.25,-70 25 19.80,,,15.732,,15.119,,,,,,,,,,,,,
22044,OGLE-LMC-CEP-0668,LMC,DCEP,0.4955307,5 1 2.42,-67 38 53.00,,,17.513,,17.052,,,,,,,,,,,,,
22042,OGLE-LMC-CEP-0664,LMC,DCEP,0.7012236,5 1 0.98,-67 7 29.70,,,17.382,,16.701,,,,,,,,,,,,,
22041,OGLE-LMC-CEP-0663,LMC,DCEP,3.9385262,5 0 59.99,-70 39 51.90,,,15.82,,15.091,,,,,,,,,,,,,
22040,OGLE-LMC-CEP-0661,LMC,DCEP,1.5259262,5 0 58.15,-67 47 34.50,,,16.151,,15.575,,,,,,,,,,,,,
22039,OGLE-LMC-CEP-0660,LMC,DCEP,6.95475,5 0 57.56,-69 36 2.70,,,15.267,,14.461,,,,,,,,,,,,,
22038,OGLE-LMC-CEP-0659,LMC,DCEP,1.6805915,5 0 57.25,-70 13 1.20,,,16.188,,15.701,,,,,,,,,,,,,
22037,OGLE-LMC-CEP-0658,LMC,DCEP,5.4154583,5 0 57.23,-70 8 32.60,,,15.065,,14.425,,,,,,,,,,,,,
22036,OGLE-LMC-CEP-0657,LMC,DCEP,2.7990775,5 0 56.72,-70 38 21.20,,,16.311,,15.612,,,,,,,,,,,,,
22034,OGLE-LMC-CEP-0655,LMC,DCEP,12.9876995,5 0 55.87,-68 26 20.80,,,14.875,,13.916,,,,,,,,,,,,,
22046,OGLE-LMC-CEP-0670,LMC,DCEP,1.1862258,5 1 4.82,-68 13 14.10,,,16.579,,16.05,,,,,,,,,,,,,
22033,OGLE-LMC-CEP-0654,LMC,DCEP,27.8972088,5 0 55.15,-66 38 14.20,,,13.616,,,,,,,,,,,,,,,
22032,OGLE-LMC-CEP-0652,LMC,DCEP,2.6937411,5 0 54.80,-69 34 47.50,,,16.124,,15.447,,,,,,,,,,,,,
22031,OGLE-LMC-CEP-0650,LMC,DCEP,2.0364296,5 0 54.42,-67 50 35.80,,,15.997,,15.354,,,,,,,,,,,,,
22030,OGLE-LMC-CEP-0645,LMC,DCEP,3.1850585,5 0 43.43,-70 20 42.50,,,16.108,,15.409,,,,,,,,,,,,,
22029,OGLE-LMC-CEP-0643,LMC,DCEP,0.6835031,5 0 40.82,-67 40 41.20,,,17.439,,16.853,,,,,,,,,,,,,
22028,OGLE-LMC-CEP-0641,LMC,DCEP,0.7681005,5 0 38.15,-71 0 33.80,,,17.232,,16.644,,,,,,,,,,,,,
22027,OGLE-LMC-CEP-0640,LMC,DCEP,0.2958453,5 0 37.81,-69 2 16.00,,,18.718,,18.162,,,,,,,,,,,,,
22026,OGLE-LMC-CEP-0639,LMC,DCEP,3.5243402,5 0 37.54,-67 45 34.30,,,15.829,,15.036,,,,,,,,,,,,,
22045,OGLE-LMC-CEP-0669,LMC,DCEP,7.8869572,5 1 3.98,-70 51 7.60,,,15.022,,14.199,,,,,,,,,,,,,
22047,OGLE-LMC-CEP-0671,LMC,DCEP,5.0510637,5 1 5.15,-68 27 5.90,,,14.988,,14.426,,,,,,,,,,,,,
21982,OGLE-LMC-CEP-0584,LMC,DCEP,5.7253422,4 59 32.74,-68 0 45.70,,,14.671,,13.841,,,,,,,,,,,,,
22058,OGLE-LMC-CEP-0684,LMC,DCEP,0.8423073,5 1 25.24,-68 21 20.90,,,17.187,,16.606,,,,,,,,,,,,,
22066,OGLE-LMC-CEP-0692,LMC,DCEP,1.1690099,5 1 35.71,-69 43 24.00,,,16.817,,16.212,,,,,,,,,,,,,
22065,OGLE-LMC-CEP-0691,LMC,DCEP,0.5283468,5 1 34.73,-67 2 35.90,,,17.572,,17.068,,,,,,,,,,,,,
22064,OGLE-LMC-CEP-0690,LMC,DCEP,7.385466,5 1 32.41,-67 6 40.30,,,15.102,,14.242,,,,,,,,,,,,,
22063,OGLE-LMC-CEP-0689,LMC,DCEP,10.4850323,5 1 32.37,-70 17 29.00,,,14.912,,14.035,,,,,,,,,,,,,
22062,OGLE-LMC-CEP-0688,LMC,DCEP,3.0832131,5 1 31.82,-70 40 59.60,,,15.839,,15.23,,,,,,,,,,,,,
22061,OGLE-LMC-CEP-0687,LMC,DCEP,3.3621968,5 1 31.74,-69 23 18.70,,,15.999,,15.274,,,,,,,,,,,,,
22060,OGLE-LMC-CEP-0686,LMC,DCEP,2.0722102,5 1 31.14,-67 47 18.10,,,16.628,,15.984,,,,,,,,,,,,,
22059,OGLE-LMC-CEP-0685,LMC,DCEP,3.1819796,5 1 26.60,-67 36 1.80,,,15.736,,15.154,,,,,,,,,,,,,
22057,OGLE-LMC-CEP-0683,LMC,DCEP,14.6769364,5 1 24.94,-70 4 18.30,,,14.321,,13.414,,,,,,,,,,,,,
22048,OGLE-LMC-CEP-0672,LMC,DCEP,3.6962257,5 1 5.75,-70 49 38.00,,,15.65,,14.993,,,,,,,,,,,,,
22056,OGLE-LMC-CEP-0682,LMC,DCEP,4.4261017,5 1 20.24,-67 28 1.30,,,15.753,,15.035,,,,,,,,,,,,,
22055,OGLE-LMC-CEP-0680,LMC,DCEP,0.2856033,5 1 18.53,-68 49 26.90,,,18.828,,18.252,,,,,,,,,,,,,
22054,OGLE-LMC-CEP-0679,LMC,DCEP,2.2394187,5 1 14.39,-67 9 50.80,,,15.712,,15.098,,,,,,,,,,,,,
22053,OGLE-LMC-CEP-0678,LMC,DCEP,0.7269186,5 1 13.41,-68 16 40.90,,,17.487,,16.903,,,,,,,,,,,,,
22052,OGLE-LMC-CEP-0676,LMC,DCEP,2.5446187,5 1 9.62,-67 48 56.80,,,15.6,,14.973,,,,,,,,,,,,,
22051,OGLE-LMC-CEP-0675,LMC,DCEP,1.632316,5 1 9.01,-67 28 46.50,,,16.262,,15.659,,,,,,,,,,,,,
